Time,HR (bpm),Cadence,Temperatures (C)
00:03:59,155,89,28.5
00:04:00,156,90,28.5
00:04:01,156,90,28.5
00:04:02,156,91,28.5
00:04:03,156,92,28.5
00:04:04,155,91,28.6
00:04:05,155,91,28.5
00:04:06,154,90,28.5
00:04:07,153,91,28.6
00:04:08,153,91,28.6
00:04:09,153,91,28.6
00:04:10,152,91,28.5
00:04:11,152,91,28.6
00:04:12,152,92,28.5
00:04:13,152,93,28.5
00:04:14,152,94,28.5
00:04:15,153,96,28.5
00:04:16,153,96,28.6
00:04:17,153,96,28.5
00:04:18,153,95,28.6
00:04:19,153,96,28.5
00:04:20,152,95,28.5
00:04:21,153,94,28.6
00:04:22,153,96,28.5
00:04:23,152,93,28.5
00:04:24,153,94,28.5
00:04:25,153,94,28.6
00:04:26,153,93,28.6
00:04:27,153,93,28.6
00:04:28,153,93,28.6
00:04:29,153,93,28.6
00:04:30,153,93,28.6
00:04:31,153,93,28.5
00:04:32,153,93,28.6
00:04:33,152,93,28.6
00:04:34,152,93,28.5
00:04:35,152,93,28.6
00:04:36,152,92,28.6
00:04:37,151,91,28.6
00:04:38,151,91,28.5
00:04:39,150,92,28.7
00:04:40,150,92,28.5
00:04:41,150,92,28.5
00:04:42,150,91,28.6
00:04:43,149,92,28.6
00:04:44,149,91,28.6
00:04:45,149,92,28.6
00:04:46,149,94,28.6
00:04:47,149,94,28.6
00:04:48,149,95,28.6
00:04:49,149,94,28.6
00:04:50,149,95,28.6
00:04:51,149,96,28.6
00:04:52,149,96,28.6
00:04:53,149,96,28.8
00:04:54,149,94,28.7
00:04:55,149,94,28.7
00:04:56,148,94,28.7
00:04:57,148,94,28.8
00:04:58,148,94,28.8
00:04:59,148,92,28.8
00:05:02,148,95,28.7
00:05:03,148,96,28.7
00:05:04,148,97,28.8
00:05:05,148,98,28.7
00:05:06,148,98,28.6
00:05:07,148,98,28.7
00:05:08,148,99,28.8
00:05:09,149,97,28.8
00:05:10,149,98,28.7
00:05:11,150,97,28.8
00:05:12,150,99,28.8
00:05:13,150,98,28.7
00:05:14,151,98,28.8
00:05:15,150,96,28.8
00:05:16,150,96,28.8
00:05:17,150,96,28.9
00:05:18,150,97,28.7
00:05:19,149,95,28.9
00:05:20,149,94,28.8
00:05:21,149,94,28.8
00:05:22,149,96,28.9
00:05:23,150,100,28.9
00:05:24,150,102,28.9
00:05:25,150,103,28.8
00:05:26,151,102,28.9
00:05:27,152,102,28.8
00:05:28,152,101,28.9
00:05:29,153,101,28.9
00:05:30,153,102,28.9
00:05:31,153,101,28.9
00:05:32,153,100,28.9
00:05:33,154,100,29.0
00:05:34,154,100,28.9
00:05:35,154,100,28.9
00:05:36,154,102,28.9
00:05:37,154,101,28.9
00:05:38,154,102,28.8
00:05:39,154,102,29.0
00:05:40,153,101,29.0
00:05:41,154,101,28.9
00:05:42,154,103,29.0
00:05:43,154,102,29.0
00:05:44,154,102,28.9
00:05:45,154,102,29.0
00:05:46,154,102,29.0
00:05:47,154,101,29.0
00:05:48,154,102,28.9
00:05:49,153,102,29.0
00:05:50,153,101,29.0
00:05:51,153,102,29.1
00:05:52,152,102,29.0
00:05:53,152,102,29.0
00:05:54,152,103,29.0
00:05:55,153,103,29.0
00:05:56,153,103,29.1
00:05:57,153,103,29.0
00:05:58,154,102,29.0
00:05:59,154,102,29.1
00:06:00,154,100,29.1
00:06:01,154,101,29.1
00:06:02,155,101,29.1
00:06:03,155,98,29.1
00:06:04,155,98,29.2
00:06:05,155,98,29.1
00:06:06,155,97,29.1
00:06:07,155,97,29.2
00:06:08,155,96,29.1
00:06:09,155,96,29.1
00:06:10,156,97,29.1
